#cur_kf_id,timestamp_kf,numSF,numValid,numDegenerate,numFarPoints,numOutliers,numCheirality,numNonInitialized,meanPixelError,maxPixelError,meanTrackLength,maxTrackLength,nrElementsInMatrix,nrZeroElementsInMatrix
1,1575909195412124263,0,0,0,0,0,0,0,0,0,0,0,900,306
2,1575909195612406509,24,20,0,0,0,0,4,0,0,2,2,2025,924
3,1575909195845789840,24,19,0,0,0,0,5,0,0,2,2,3600,1992
4,1575909196078844271,24,19,0,0,0,0,5,0,0,2,2,5625,3510
5,1575909196279335950,24,19,0,0,0,0,5,0,0,2,2,8100,5478
6,1575909196479512651,24,19,0,0,0,0,5,0,0,2,2,11025,7896
7,1575909196679513219,24,19,0,0,0,0,5,0,0,2,2,14400,10764
8,1575909196879529982,24,19,0,0,0,0,5,0,0,2,2,18225,14082
9,1575909197112978883,24,19,0,0,0,0,5,0,0,2,2,22500,17850
10,1575909197346485932,24,19,0,0,0,0,5,0,0,2,2,27225,22068
11,1575909197579709159,356,316,0,0,0,0,40,0,0,6.8417721518987342222,10,32400,24072
12,1575909197780186659,356,312,0,0,0,0,44,0,0,6.9230769230769233502,10,38025,29190
13,1575909198013177629,356,312,0,0,0,0,44,0,0,6.9230769230769233502,10,44100,34758
14,1575909198213583621,356,312,0,0,0,0,44,0,0,6.9230769230769233502,10,50625,40776
15,1575909198413766420,356,312,0,0,0,0,44,0,0,6.9230769230769233502,10,57600,47244
16,1575909198613951755,356,312,0,0,0,0,44,0,0,6.9230769230769233502,10,65025,54162
17,1575909198814056526,356,312,0,0,0,0,44,0,0,6.9230769230769233502,10,72900,61530
18,1575909199014091372,356,312,0,0,0,0,44,0,0,6.9230769230769233502,10,81225,69348
19,1575909199214168873,356,312,0,0,0,0,44,0,0,6.9230769230769233502,10,90000,77616
20,1575909199447650837,356,307,0,0,0,0,49,0,0,6.9055374592833880243,10,99225,86334
21,1575909199680284796,608,548,0,0,0,0,60,0,0,5.6824817518248176285,10,108900,93486
22,1575909199881074882,608,548,0,0,0,0,60,0,0,5.6824817518248176285,10,119025,103104
23,1575909200081202813,608,548,0,0,0,0,60,0,0,5.6843065693430654406,10,129600,113172
24,1575909200281354973,608,547,0,0,0,0,61,0,0,5.6782449725776968918,10,140625,123690
25,1575909200514186650,608,547,0,0,0,0,61,0,0,5.6782449725776968918,10,152100,134658
26,1575909200714882622,608,547,0,0,0,0,61,0,0,5.6782449725776968918,10,164025,146076
27,1575909200914966114,608,547,0,0,0,0,61,0,0,5.6782449725776968918,10,176400,157944
28,1575909201115904346,608,547,0,0,0,0,61,0,0,5.6782449725776968918,10,189225,170262
29,1575909201348711986,608,547,0,0,0,0,61,0,0,5.6782449725776968918,10,189225,170262
30,1575909201548870168,584,528,0,0,0,0,56,0,0,5.8068181818181816567,10,189225,170226
31,1575909201749135788,537,489,0,0,0,0,48,0,0,5.4723926380368101974,9,189225,170154
32,1575909201949311693,395,374,0,0,0,0,21,0,0,4.387700534759358284,9,189225,170766
33,1575909202181694517,645,557,0,0,0,0,88,0,0,4.6211849192100542538,11,189225,168066
34,1575909202382763003,639,552,0,0,0,0,87,0,0,4.5996376811594199552,11,189225,168534
35,1575909202582807404,625,537,0,0,0,0,88,0,0,4.5661080074487898628,11,189225,168930
36,1575909202782987683,578,494,0,0,0,0,84,0,0,4.5283400809716596314,11,189225,169254
37,1575909202983237366,559,476,0,0,0,0,83,0,0,4.5483193277310922653,11,189225,169506
38,1575909203183326823,542,458,0,0,0,0,84,0,0,4.6113537117903931062,11,189225,169686
39,1575909203383599815,516,440,0,0,0,0,76,0,0,4.7181818181818178104,11,189225,169686
40,1575909203583724886,516,440,0,0,0,0,76,0,0,4.7181818181818178104,11,189225,169686
41,1575909203816940736,516,440,0,0,0,0,76,0,0,4.7181818181818178104,11,189225,169686
42,1575909204017545790,504,428,0,0,0,0,76,0,0,4.5981308411214953935,11,189225,169542
43,1575909204250237772,485,411,0,0,0,0,74,0,0,4.4574209245742091312,11,189225,170082
44,1575909204450346552,477,402,0,0,0,0,75,0,0,4.4129353233830848069,11,189225,170550
45,1575909204684163479,453,378,0,0,0,0,75,0,0,4.3121693121693125406,11,189225,170946
46,1575909204884608179,435,360,0,0,0,0,75,0,0,4.2777777777777776791,11,189225,171270
47,1575909205084979614,614,460,0,0,0,0,154,0,0,4.9521739130434783149,11,189225,168282
48,1575909205316834937,574,420,0,0,0,0,154,0,0,5.1380952380952384928,11,189225,168462
49,1575909205517838808,514,361,0,0,0,0,153,0,0,5.6509695290858728001,11,189225,168462
50,1575909205718622655,514,361,0,0,0,0,153,0,0,5.6509695290858728001,11,189225,168462
51,1575909205951394453,514,361,0,0,0,0,153,0,0,5.6509695290858728001,11,189225,168462
52,1575909206184894048,500,352,0,0,0,0,148,0,0,5.5142045454545458583,11,189225,168246
53,1575909206385177328,474,336,0,0,0,0,138,0,0,5.3005952380952381375,11,189225,168930
54,1575909206618501095,446,312,0,0,0,0,134,0,0,5.0160256410256414128,11,189225,169542
55,1575909206851992759,669,450,0,0,0,0,219,0,0,5.1088888888888890349,11,189225,167994
56,1575909207085491630,692,529,0,0,0,0,163,0,0,5.2287334593572776242,11,189225,167814
57,1575909207285637216,684,523,0,0,0,0,161,0,0,5.2198852772466537431,11,189225,168210
58,1575909207485728432,649,492,0,0,0,0,157,0,0,5.2337398373983736732,11,189225,168534
59,1575909207686056401,634,473,0,0,0,0,161,0,0,5.2980972515856237237,11,189225,168786
60,1575909207919406187,742,630,0,0,0,0,112,0,0,4.9571428571428572951,11,189225,168102
61,1575909208151952176,670,558,0,0,0,0,112,0,0,5.3010752688172040337,11,189225,168102
62,1575909208351969059,805,681,0,0,0,0,124,0,0,5.0279001468428781152,11,189225,167454
63,1575909208553252955,848,736,0,0,0,0,112,0,0,5.1603260869565215074,11,189225,166806
64,1575909208786252259,865,765,0,0,0,0,100,0,0,5.2823529411764704733,11,176400,153840
65,1575909208986409861,840,745,0,0,0,0,95,0,0,5.1288590604026849107,10,176400,152976
66,1575909209186537291,861,757,0,0,0,0,104,0,0,4.9656538969616912382,10,176400,153084
67,1575909209386806526,1000,891,0,0,0,0,109,0,0,4.5218855218855216194,10,176400,153048
68,1575909209620379722,999,892,0,0,0,0,107,0,0,4.5493273542600896064,10,176400,152940
